agent,episode,total_reward,steps,time_to_recovery,max_compromised,ended_clean,total_wasted,total_restored,total_invested
RecurrentPPO,1,3758.67,200,5,2,1,2,26,389
RecurrentPPO,2,4139.16,200,4,2,1,5,18,395
RecurrentPPO,3,2830.5,200,5,3,0,11,35,362
RecurrentPPO,4,4155.95,200,5,2,1,1,22,377
RecurrentPPO,5,4144.54,200,5,2,1,2,22,399
RecurrentPPO,6,3168.57,200,5,3,1,5,30,366
RecurrentPPO,7,4350.54,200,6,3,0,3,17,399
RecurrentPPO,8,3328.16,200,17,3,0,6,31,370
RecurrentPPO,9,3672.44,200,10,3,1,1,30,379
RecurrentPPO,10,3561.12,200,26,3,0,7,33,384
RecurrentPPO,11,3069.71,200,3,3,0,7,32,362
RecurrentPPO,12,3857.65,200,4,3,0,2,26,393
RecurrentPPO,13,3878.67,200,10,4,1,1,19,396
RecurrentPPO,14,3403.06,200,8,3,0,6,30,369
RecurrentPPO,15,2940.94,200,11,3,0,7,41,376
RecurrentPPO,16,3837.45,200,29,2,0,4,24,383
RecurrentPPO,17,3697.04,200,5,2,0,5,33,387
RecurrentPPO,18,3820.89,200,6,2,0,3,25,386
RecurrentPPO,19,3296.52,200,22,4,1,5,38,372
RecurrentPPO,20,3815.05,200,3,3,1,3,25,398
RecurrentPPO,21,3476.99,200,13,3,0,8,29,377
RecurrentPPO,22,3365.12,200,4,2,1,9,31,365
RecurrentPPO,23,3617.5,200,11,3,0,1,33,386
RecurrentPPO,24,3400.62,200,5,3,0,6,30,383
RecurrentPPO,25,3788.89,200,7,3,1,6,20,391
RecurrentPPO,26,3559.39,200,18,3,1,4,26,384
RecurrentPPO,27,4283.11,200,3,3,0,1,19,398
RecurrentPPO,28,3895.4,200,4,3,1,2,26,390
RecurrentPPO,29,2860.8,200,20,3,1,8,34,374
RecurrentPPO,30,3769.8,200,15,2,1,3,29,382
RecurrentPPO,31,3928.3,200,26,2,1,4,26,396
RecurrentPPO,32,3602.01,200,6,3,1,3,30,379
RecurrentPPO,33,3815.54,200,9,3,1,4,24,389
RecurrentPPO,34,4496.08,200,3,2,0,0,14,406
RecurrentPPO,35,4089.36,200,4,3,1,1,18,389
RecurrentPPO,36,4352.18,200,4,2,1,0,23,403
RecurrentPPO,37,3251.2,200,4,3,1,2,43,395
RecurrentPPO,38,3155.78,200,15,3,1,4,40,365
RecurrentPPO,39,4005.06,200,3,2,1,3,24,400
RecurrentPPO,40,3762.34,200,5,2,0,2,35,392
RecurrentPPO,41,3535.18,200,6,2,1,5,33,377
RecurrentPPO,42,3364.05,200,38,3,1,2,31,379
RecurrentPPO,43,3739.92,200,5,2,1,6,27,381
RecurrentPPO,44,3350.9,200,5,4,1,4,35,362
RecurrentPPO,45,3659.94,200,4,3,1,6,28,382
RecurrentPPO,46,3654.53,200,5,3,1,6,34,374
RecurrentPPO,47,3756.06,200,16,2,0,5,28,385
RecurrentPPO,48,3507.11,200,16,3,0,7,31,380
RecurrentPPO,49,3888.42,200,4,3,1,2,31,378
RecurrentPPO,50,3585.75,200,4,3,1,6,27,390
StaticPlaybook,1,4505.48,200,23,2,1,0,32,169
StaticPlaybook,2,4722.33,200,5,3,1,0,29,172
StaticPlaybook,3,4576.71,200,8,3,0,0,22,168
StaticPlaybook,4,4430.47,200,5,3,1,0,29,183
StaticPlaybook,5,4700.05,200,5,2,1,0,24,143
StaticPlaybook,6,4714.0,200,9,2,1,0,21,175
StaticPlaybook,7,4619.98,200,11,2,1,0,25,169
StaticPlaybook,8,4604.55,200,6,2,1,0,23,163
StaticPlaybook,9,4243.72,200,6,3,1,0,39,167
StaticPlaybook,10,4266.75,200,17,3,0,0,37,164
StaticPlaybook,11,4610.81,200,15,3,0,0,20,152
StaticPlaybook,12,4357.43,200,13,2,0,0,33,162
StaticPlaybook,13,4457.81,200,4,2,0,0,31,165
StaticPlaybook,14,4441.65,200,5,2,0,0,34,189
StaticPlaybook,15,4286.99,200,5,3,0,0,36,167
StaticPlaybook,16,4316.15,200,7,3,1,0,28,165
StaticPlaybook,17,4741.04,200,4,2,1,0,23,164
StaticPlaybook,18,4738.59,200,5,2,0,0,23,173
StaticPlaybook,19,4038.53,200,22,3,1,0,41,165
StaticPlaybook,20,4626.7,200,4,2,1,0,25,169
StaticPlaybook,21,4437.9,200,6,2,1,0,29,164
StaticPlaybook,22,4643.65,200,6,3,0,0,27,173
StaticPlaybook,23,4046.35,200,19,3,0,0,42,176
StaticPlaybook,24,4716.29,200,9,2,1,0,18,160
StaticPlaybook,25,4744.35,200,6,2,1,0,20,165
StaticPlaybook,26,4398.72,200,16,2,0,0,30,158
StaticPlaybook,27,4884.35,200,5,2,1,0,19,138
StaticPlaybook,28,4442.22,200,16,2,1,0,33,142
StaticPlaybook,29,4607.2,200,6,3,1,0,26,151
StaticPlaybook,30,4456.32,200,6,2,0,0,32,161
StaticPlaybook,31,4749.94,200,9,2,1,0,27,155
StaticPlaybook,32,4517.81,200,7,2,1,0,29,171
StaticPlaybook,33,4546.2,200,4,3,1,0,21,149
StaticPlaybook,34,4164.84,200,4,3,1,0,39,163
StaticPlaybook,35,4673.23,200,5,3,1,0,21,158
StaticPlaybook,36,4666.81,200,6,3,1,0,26,162
StaticPlaybook,37,4500.44,200,6,3,1,0,31,153
StaticPlaybook,38,4097.76,200,6,3,1,0,34,168
StaticPlaybook,39,4654.02,200,6,3,1,0,18,168
StaticPlaybook,40,4791.88,200,6,2,0,0,22,164
StaticPlaybook,41,4236.55,200,20,2,0,0,40,174
StaticPlaybook,42,4606.08,200,4,2,1,0,25,168
StaticPlaybook,43,4203.4,200,16,3,1,0,37,165
StaticPlaybook,44,4885.47,200,5,2,1,0,17,161
StaticPlaybook,45,4618.55,200,5,2,1,0,24,167
StaticPlaybook,46,4460.72,200,6,3,1,0,31,179
StaticPlaybook,47,4262.18,200,4,2,1,0,32,159
StaticPlaybook,48,4419.9,200,15,2,1,0,29,167
StaticPlaybook,49,4317.17,200,4,2,1,0,39,185
StaticPlaybook,50,4619.55,200,6,2,1,0,25,161
